747 60050
2 1 0.0027248
180 1 0.0027248
312 1 0.0027248
70 1 0.0027248
250 1 0.0027248
218 1 0.0027248
143 1 0.0027248
278 1 0.0027248
244 1 0.0027248
512 1 0.0027248
85 1 0.0027248
447 1 0.0027248
393 1 0.0027248
122 1 0.0027248
95 1 0.0027248
234 1 0.0027248
38 1 0.0027248
162 1 0.0027248
478 1 0.0027248
118 1 0.0027248
565 1 0.0027248
44 1 0.0027248
33 1 0.0027248
276 1 0.0027248
79 1 0.0027248
198 1 0.0027248
135 1 0.0027248
71 1 0.0027248
395 1 0.0027248
93 1 0.0027248
133 1 0.0027248
105 1 0.0027248
50 1 0.0027248
187 1 0.0027248
103 1 0.0027248
39 1 0.0027248
170 1 0.0027248
195 1 0.0027248
253 1 0.0027248
59 1 0.0027248
312 1 0.0027248
118 1 0.0027248
518 1 0.0027248
194 1 0.0027248
102 1 0.0027248
285 1 0.0027248
110 1 0.0027248
15 1 0.0027248
508 1 0.0027248
261 1 0.0027248
228 1 0.0027248
258 1 0.0027248
429 1 0.0027248
457 1 0.0027248
466 1 0.0027248
198 1 0.0027248
104 1 0.0027248
25 1 0.0027248
134 1 0.0027248
45 1 0.0027248
152 1 0.0027248
395 1 0.0027248
11 1 0.0027248
394 1 0.0027248
398 1 0.0027248
152 1 0.0027248
262 1 0.0027248
129 1 0.0027248
143 1 0.0027248
100 1 0.0027248
33 1 0.0027248
25 1 0.0027248
457 1 0.0027248
105 1 0.0027248
153 1 0.0027248
354 1 0.0027248
123 1 0.0027248
277 1 0.0027248
155 1 0.0027248
216 1 0.0027248
144 1 0.0027248
112 1 0.0027248
362 1 0.0027248
433 1 0.0027248
388 1 0.0027248
279 1 0.0027248
76 1 0.0027248
49 1 0.0027248
565 1 0.0027248
387 1 0.0027248
5 1 0.0027248
335 1 0.0027248
249 1 0.0027248
280 1 0.0027248
318 1 0.0027248
220 1 0.0027248
396 1 0.0027248
55 1 0.0027248
388 1 0.0027248
158 1 0.0027248
322 1 0.0027248
342 1 0.0027248
438 1 0.0027248
294 1 0.0027248
335 1 0.0027248
102 1 0.0027248
99 1 0.0027248
92 1 0.0027248
124 1 0.0027248
285 1 0.0027248
304 1 0.0027248
306 1 0.0027248
34 1 0.0027248
98 1 0.0027248
8 1 0.0027248
452 1 0.0027248
205 1 0.0027248
278 1 0.0027248
163 1 0.0027248
543 1 0.0027248
466 1 0.0027248
57 1 0.0027248
236 1 0.0027248
144 1 0.0027248
56 1 0.0027248
54 1 0.0027248
155 1 0.0027248
49 1 0.0027248
375 1 0.0027248
188 1 0.0027248
